ano_mes,valor_empenhado,ipca,salario_minimo,incc,dias_uteis,q4,dummy_pandemia,dummy_suspensao_presencial,dummy_instabilidade_gestao,dummy_contingenciamento,dummy_retomada_presencial,dummy_aula,dummy_reitora_mulher,beneficiarios_assistencia,beneficiarios_ensino,beneficiarios_extensao,beneficiarios_pesquisa,valor_assistencia,valor_ensino,valor_extensao,valor_pesquisa,selic_meta_mensal,cambio_mensal
2015-01,15183514.092591602,1.24,788.0,0.76,22,0,0,0,0,1,0,0,1,1745,0,0,496,697500.0,0.0,0.0,198400,11.82,2.634228571428572
2015-02,18039793.433947705,1.22,788.0,0.27,20,0,0,0,0,1,0,1,1,1745,0,0,496,697500.0,0.0,0.0,198400,12.15,2.81645
2015-03,17207015.707882788,1.32,788.0,0.98,22,0,0,0,0,1,0,1,1,1762,48,1,495,635900.0,16020.0,400.0,198000,12.58,3.1394772727272726
2015-04,40677236.21295985,0.71,788.0,1.17,22,0,0,0,0,1,0,0,1,1735,193,47,498,626920.0,94210.0,18800.0,218960,12.68,3.0432200000000003
2015-05,24293950.751994573,0.74,788.0,0.41,21,0,0,0,0,1,0,0,1,1755,904,50,483,618360.0,391790.0,20000.0,216880,13.15,3.061715
2015-06,14985523.898151906,0.79,788.0,0.67,22,0,0,0,0,1,0,0,1,1997,1183,526,476,757623.0,470410.0,210400.0,198720,13.58,3.1117380952380955
2015-07,47450645.84679084,0.62,788.0,0.69,23,0,0,0,0,1,0,0,1,1967,600,527,473,734663.0,249570.0,210800.0,197520,13.69,3.223143478260869
2015-08,46255095.26333038,0.22,788.0,0.28,21,0,0,0,0,1,0,0,1,2015,524,537,468,760258.0,250384.0,214800.0,196080,14.15,3.5143047619047616
2015-09,18924331.151795603,0.54,788.0,0.95,22,0,0,0,0,1,0,0,1,2005,517,550,10,752820.0,224100.0,222000.0,11520,14.15,3.906457142857143
2015-10,28456655.00268047,0.82,788.0,1.89,22,1,0,0,0,1,0,1,1,1998,538,546,462,749253.0,234050.0,218400.0,195120,14.15,3.8801380952380953
2015-11,38853207.84954443,1.01,788.0,1.52,21,1,0,0,0,1,0,1,1,2094,1267,559,481,793341.6,550990.0,223600.0,204320,14.15,3.77646
2015-12,-1504423.8835655006,0.96,788.0,0.49,23,1,0,0,0,1,0,1,1,2080,1315,557,492,784292.6,620950.0,223200.0,210320,14.15,3.871136363636363
2016-01,9593026.65773818,1.27,880.0,1.14,21,0,0,0,0,1,0,0,1,2111,385,546,481,843320.0,165800.0,218400.0,194400,14.15,4.05235
2016-02,15653560.26150031,0.9,880.0,1.29,21,0,0,0,0,1,0,1,1,2021,5,1,482,802251.8,5000.0,400.0,192800,14.15,3.973742105263157
2016-03,37758131.91742645,0.43,880.0,0.51,23,0,0,0,0,1,0,1,1,2132,55,11,491,862044.0,27180.0,4400.0,204320,14.15,3.7039181818181817
2016-04,18348818.73113461,0.61,880.0,0.33,21,0,0,0,0,1,0,1,1,2405,766,23,492,1009790.0,299280.0,9600.0,206720,14.15,3.5658450000000004
2016-05,23105066.047031917,0.78,880.0,0.82,22,0,0,0,0,1,0,1,1,2506,667,33,491,1074958.0,259800.0,13200.0,204320,14.15,3.539290476190476
2016-06,26633395.01518036,0.35,880.0,1.69,22,0,0,0,0,1,0,1,1,2821,931,586,474,1229728.0,368878.0,234400.0,189600,14.15,3.4244772727272728
2016-07,48062758.94745854,0.52,880.0,0.18,21,0,0,0,0,1,0,1,1,2912,1107,609,468,1281954.0,433620.0,244000.0,187200,14.15,3.2755666666666667
2016-08,11450054.616435563,0.44,880.0,0.15,23,0,0,0,0,1,0,1,1,2622,419,618,464,1161685.0,158250.0,247200.0,185600,14.15,3.209660869565217
2016-09,12777447.89519948,0.08,880.0,0.2,22,0,0,0,0,1,0,1,1,2652,1065,621,266,1182371.0,425510.0,248400.0,106400,14.15,3.2563714285714283
2016-10,28273204.609462515,0.26,880.0,0.16,21,1,0,0,0,1,0,1,1,2677,812,533,0,1198874.0,316996.0,213200.0,0,14.05,3.185845
2016-11,46192808.80799845,0.18,880.0,-0.03,22,1,0,0,0,1,0,1,1,3126,1109,624,587,1422519.0,437600.0,249600.0,234800,13.9,3.34203
2016-12,4241162.534120653,0.3,880.0,0.54,22,1,0,0,0,1,0,1,1,3315,1075,638,602,1493946.0,425570.0,255200.0,240800,13.65,3.352268181818182
2017-01,12792358.497879572,0.38,937.0,0.64,22,0,0,0,0,1,0,0,1,3237,7,1,0,1429879.0,2380.0,400.0,0,13.17,3.196609090909091
2017-02,11076896.022158485,0.33,937.0,0.08,20,0,0,0,0,1,0,1,1,3191,19,0,497,1414823.0,7580.0,0.0,200800,12.82,3.1041944444444445
2017-03,16487777.72100239,0.25,937.0,0.01,23,0,0,0,0,1,0,1,1,3134,33,25,488,1429614.2,8640.0,10000.0,195200,12.15,3.127930434782609
2017-04,18848633.286743756,0.14,937.0,-1.1,20,0,0,0,0,1,0,1,1,3147,612,25,499,1435272.4,244880.0,10000.0,200000,11.59,3.136172222222222
2017-05,64745801.22686289,0.31,937.0,-0.93,23,0,0,0,0,1,0,1,1,3452,752,34,488,1621963.2,294780.0,13600.0,195200,11.15,3.209509090909091
2017-06,12487094.729371496,-0.23,937.0,-0.67,22,0,0,0,0,1,0,1,1,19,231,522,0,11818.0,92200.0,208800.0,0,10.15,3.2953666666666663
2017-07,15650890.299343294,0.24,937.0,-0.72,21,0,0,0,0,1,0,1,1,3256,975,604,478,1484092.2,395846.4,241600.0,191200,10.01,3.206138095238096
2017-08,14742875.949339284,0.19,937.0,0.1,23,0,0,0,0,1,0,1,1,3055,405,623,456,1385826.0,158440.0,249200.0,182400,9.15,3.150917391304348
2017-09,21998241.04155155,0.16,937.0,0.47,21,0,0,0,0,1,0,1,1,3244,883,639,479,1524115.0,351980.0,255600.0,191600,8.35,3.13479
2017-10,29558714.791233804,0.42,937.0,0.2,22,1,0,0,0,1,0,1,1,3341,965,705,500,1555354.6,387500.0,282000.0,200000,8.01,3.1912285714285717
2017-11,33693572.55720012,0.28,937.0,0.52,22,1,0,0,0,1,0,1,1,3306,966,729,495,1594023.6,381830.0,291600.0,198000,7.4,3.25938
2017-12,8911656.405983167,0.44,937.0,0.89,21,1,0,0,0,1,0,0,1,3318,1000,743,505,1565466.7,399270.0,299000.0,202000,7.0,3.2919150000000004
2018-01,10220003.580372645,0.29,954.0,0.76,23,0,0,0,0,0,0,0,1,2953,31,0,0,1397558.6,7000.0,0.0,0,6.9,3.2106090909090907
2018-02,63253071.26291114,0.32,954.0,0.07,20,0,0,0,0,0,0,1,1,3099,17,0,495,1438094.0,5610.0,0.0,198000,6.72,3.2415000000000003
2018-03,28576006.87417465,0.09,954.0,0.64,22,0,0,0,0,0,0,1,1,3034,70,32,494,1491534.25,18050.0,12800.0,197600,6.58,3.2792142857142856
2018-04,6361188.485522507,0.22,954.0,0.57,21,0,0,0,0,0,0,1,1,3506,761,599,495,1654097.65,293050.0,239600.0,198000,6.4,3.407495238095238
2018-05,27892303.50186684,0.4,954.0,1.38,23,0,0,0,0,0,0,1,1,3588,775,608,491,1679362.65,300050.0,243200.0,196400,6.4,3.636057142857143
2018-06,18847045.68458468,1.26,954.0,1.87,21,0,0,0,0,0,0,1,1,3619,993,706,489,1692742.85,380230.0,282800.0,195600,6.4,3.773171428571428
2018-07,9082957.534853026,0.33,954.0,0.51,22,0,0,0,0,0,0,1,1,3269,945,729,694,1517427.0,368220.0,291600.0,219760,6.4,3.828763636363637
2018-08,13462930.115125695,-0.09,954.0,0.7,23,0,0,0,0,0,0,1,1,2702,915,735,459,1253092.2,346760.0,294800.0,183600,6.4,3.9297565217391295
2018-09,7186529.076245416,0.48,954.0,1.52,20,0,0,0,0,0,0,1,1,2692,1029,733,543,1273787.6,399880.0,293200.0,217200,6.4,4.1165473684210525
2018-10,25466620.71139999,0.45,954.0,0.89,23,1,0,0,0,0,0,1,1,2691,1065,739,556,1275869.2,402490.0,295600.0,222400,6.4,3.758409090909091
