ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2015/01,Auxílio Financeiro a Estudantes,1055487.2001362464
2015/01,Auxílio Financeiro a Pesquisadores,0.0
2015/01,Despesas de Exercícios Anteriores,1916632.4092586737
2015/01,Diárias - Civil,21322.40313123449
2015/01,Equipamentos e Material Permanente,0.0
2015/01,Indenizações e Restituições,3364133.6675319937
2015/01,Locação de Mão-de-Obra,616285.5152340519
2015/01,Material de Consumo,1195310.4043781327
2015/01,"Material, Bem ou Serviço para Distribuição",0.0
2015/01,Obras e Instalações,0.0
2015/01,Outros Auxílios Financeiros a Pessoas Físic,3414011.0608534864
2015/01,Outros Serviços de Terceiros - Pessoa Físic,71854.94550143546
2015/01,Outros Serviços de Terceiros - Pessoa Juríd,3500473.200838159
2015/01,Passagens e Despesas com Locomoção,28003.285728188413
2015/02,Auxílio Financeiro a Estudantes,1972685.3862905435
2015/02,Auxílio Financeiro a Pesquisadores,30584.269554892147
2015/02,Despesas de Exercícios Anteriores,125341.70962950143
2015/02,Diárias - Civil,348497.5966447454
2015/02,Equipamentos e Material Permanente,0.0
2015/02,Indenizações e Restituições,1693649.0691205526
2015/02,Locação de Mão-de-Obra,1972980.2889655654
2015/02,Material de Consumo,1884864.0728341914
2015/02,"Material, Bem ou Serviço para Distribuição",0.0
2015/02,Obras e Instalações,0.0
2015/02,Outros Auxílios Financeiros a Pessoas Físic,0.0
2015/02,Outros Serviços de Terceiros - Pessoa Físic,326346.1201981088
2015/02,Outros Serviços de Terceiros - Pessoa Juríd,9508943.385666797
2015/02,Passagens e Despesas com Locomoção,175901.53504280903
2015/03,Auxílio Financeiro a Estudantes,2990207.1291865744
2015/03,Auxílio Financeiro a Pesquisadores,57676.42328112619
2015/03,Contribuições,20888.618337896118
2015/03,Despesas de Exercícios Anteriores,699226.7766068996
2015/03,Diárias - Civil,311134.6568420453
2015/03,Equipamentos e Material Permanente,259409.14676674746
2015/03,Indenizações e Restituições,1666128.317634025
2015/03,Locação de Mão-de-Obra,1274100.0009619808
2015/03,Material de Consumo,2424458.0488475203
2015/03,Obras e Instalações,0.0
2015/03,Outros Auxílios Financeiros a Pessoas Físic,656992.407111305
2015/03,Outros Serviços de Terceiros - Pessoa Físic,503377.06514070305
2015/03,Outros Serviços de Terceiros - Pessoa Juríd,5847622.362403505
2015/03,Passagens e Despesas com Locomoção,495794.75476245827
2015/04,Auxílio Financeiro a Estudantes,3552750.535311729
2015/04,Auxílio Financeiro a Pesquisadores,17127.41243619249
2015/04,Contribuições,1672.598870721923
2015/04,Despesas de Exercícios Anteriores,159582.4909956916
2015/04,Diárias - Civil,324955.65308973216
2015/04,Equipamentos e Material Permanente,0.0
2015/04,Indenizações e Restituições,1654142.8628247501
2015/04,Locação de Mão-de-Obra,1265117.1726247824
2015/04,Material de Consumo,4516007.734929415
2015/04,"Material, Bem ou Serviço para Distribuição",60226.254371418014
2015/04,Obras e Instalações,17716021.705858868
2015/04,Outros Auxílios Financeiros a Pessoas Físic,225686.60904458934
2015/04,Outros Serviços de Terceiros - Pessoa Físic,1249023.1084969107
2015/04,Outros Serviços de Terceiros - Pessoa Juríd,9664972.711749062
2015/04,Passagens e Despesas com Locomoção,269949.3623559841
2015/05,Auxílio Financeiro a Estudantes,5575451.950176542
2015/05,Auxílio Financeiro a Pesquisadores,55255.2588504887
2015/05,Contribuições,2897.2483982603003
2015/05,Despesas de Exercícios Anteriores,148805.981760043
2015/05,Diárias - Civil,598728.2527475097
2015/05,Equipamentos e Material Permanente,632481.462237525
2015/05,Indenizações e Restituições,1641838.9386884442
2015/05,Locação de Mão-de-Obra,1164849.3777381566
2015/05,Material de Consumo,2372490.9648903334
2015/05,"Material, Bem ou Serviço para Distribuição",0.0
2015/05,Obras e Instalações,32597.082855539447
2015/05,Outros Auxílios Financeiros a Pessoas Físic,1031626.1095122293
2015/05,Outros Serviços de Terceiros - Pessoa Físic,756422.9925934153
2015/05,Outros Serviços de Terceiros - Pessoa Juríd,9865902.593163962
2015/05,Passagens e Despesas com Locomoção,414602.538382126
2015/06,Auxílio Financeiro a Estudantes,4908576.297388403
2015/06,Auxílio Financeiro a Pesquisadores,0.0
2015/06,Despesas de Exercícios Anteriores,51450.90508051474
2015/06,Diárias - Civil,95951.85679254081
2015/06,Equipamentos e Material Permanente,62531.46003029888
2015/06,Indenizações e Restituições,1623077.1357313374
2015/06,Locação de Mão-de-Obra,0.0
2015/06,Material de Consumo,2444708.8759207404
2015/06,"Material, Bem ou Serviço para Distribuição",51112.48402812738
2015/06,Obras e Instalações,0.0
2015/06,Outros Auxílios Financeiros a Pessoas Físic,1033029.1422493092
2015/06,Outros Serviços de Terceiros - Pessoa Físic,761869.7517405617
2015/06,Outros Serviços de Terceiros - Pessoa Juríd,3780389.9882029234
2015/06,Passagens e Despesas com Locomoção,172826.00098714963
2015/07,Auxílio Financeiro a Estudantes,9408024.357275927
2015/07,Auxílio Financeiro a Pesquisadores,446064.7714941517
2015/07,Contribuições,0.0
2015/07,Despesas de Exercícios Anteriores,109796.58363287998
2015/07,Diárias - Civil,842495.1143503394
2015/07,Equipamentos e Material Permanente,600235.211258188
2015/07,Indenizações e Restituições,2011896.5866371847
2015/07,Locação de Mão-de-Obra,6132857.236825905
2015/07,Material de Consumo,2532348.4973749802
2015/07,"Material, Bem ou Serviço para Distribuição",0.0
2015/07,Obras e Instalações,0.0
2015/07,Outros Auxílios Financeiros a Pessoas Físic,1008624.9518481201
2015/07,Outros Serviços de Terceiros - Pessoa Físic,750796.6191484652
2015/07,Outros Serviços de Terceiros - Pessoa Juríd,22377630.494429473
2015/07,Passagens e Despesas com Locomoção,1229875.4225152233
2015/08,Auxílio Financeiro a Estudantes,591413.5852208022
2015/08,Auxílio Financeiro a Pesquisadores,16727.622421865115
2015/08,Contribuições,0.0
2015/08,Despesas de Exercícios Anteriores,107833.0007212451
2015/08,Diárias - Civil,579150.9638112109
2015/08,Equipamentos e Material Permanente,4551179.632038467
2015/08,Indenizações e Restituições,1566193.3041123624
2015/08,Locação de Mão-de-Obra,4146141.2299633045
2015/08,Material de Consumo,3719115.6750601036
2015/08,"Material, Bem ou Serviço para Distribuição",0.0
2015/08,Obras e Instalações,31814.794356573453
2015/08,Outros Auxílios Financeiros a Pessoas Físic,1006411.2771732253
2015/08,Outros Serviços de Terceiros - Pessoa Físic,1986273.9879792484
2015/08,Outros Serviços de Terceiros - Pessoa Juríd,27557502.567898266
2015/08,Passagens e Despesas com Locomoção,395337.62257370615
2015/09,Auxílio Financeiro a Estudantes,245220.89499258605
2015/09,Auxílio Financeiro a Pesquisadores,16637.78569009547
2015/09,Despesas de Exercícios Anteriores,552928.4711815695
2015/09,Diárias - Civil,245407.94009889892
2015/09,Equipamentos e Material Permanente,3961583.912140857
2015/09,Indenizações e Restituições,1770634.6988606723
2015/09,Locação de Mão-de-Obra,-70968.05241732493
2015/09,Material de Consumo,4500467.720015698
2015/09,"Material, Bem ou Serviço para Distribuição",0.0
2015/09,Obras e Instalações,6864.565150384887
2015/09,Outros Auxílios Financeiros a Pessoas Físic,2561487.9085745933
2015/09,Outros Serviços de Terceiros - Pessoa Físic,550045.5523669831
2015/09,Outros Serviços de Terceiros - Pessoa Juríd,4294329.5197877865
2015/09,Passagens e Despesas com Locomoção,289690.235352805
2015/10,Auxílio Financeiro a Estudantes,431681.3111485605
2015/10,Auxílio Financeiro a Pesquisadores,410665.60709949053
2015/10,Contribuições,133180.3813150399
2015/10,Despesas de Exercícios Anteriores,77679.64243806672
2015/10,Diárias - Civil,27206.117833838332
2015/10,Equipamentos e Material Permanente,7610326.310746832
2015/10,Indenizações e Restituições,2281769.409407733
2015/10,Locação de Mão-de-Obra,-21555.209577957085
2015/10,Material de Consumo,6105245.785605829
2015/10,"Material, Bem ou Serviço para Distribuição",27419.135251194406
2015/10,Obras e Instalações,2090775.072840137
2015/10,Outros Auxílios Financeiros a Pessoas Físic,251285.77559890604
2015/10,Outros Serviços de Terceiros - Pessoa Físic,380560.93428999424
2015/10,Outros Serviços de Terceiros - Pessoa Juríd,8437039.89717314
2015/10,Passagens e Despesas com Locomoção,213374.83150966308
2015/11,Auxílio Financeiro a Estudantes,1301477.798874271
2015/11,Auxílio Financeiro a Pesquisadores,429050.1994180364
2015/11,Contribuições,0.0
2015/11,Despesas de Exercícios Anteriores,112819.54128346573
2015/11,Diárias - Civil,-24922.787706861105
2015/11,Equipamentos e Material Permanente,5141132.911759485
2015/11,Indenizações e Restituições,1524707.454733791
2015/11,Locação de Mão-de-Obra,0.0
2015/11,Material de Consumo,5239497.185118359
2015/11,"Material, Bem ou Serviço para Distribuição",0.0
2015/11,Obras e Instalações,306932.17729555443
2015/11,Outros Auxílios Financeiros a Pessoas Físic,1753067.2216438786
2015/11,Outros Serviços de Terceiros - Pessoa Físic,870076.7260074824
