ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2015/01,Auxílio Financeiro a Estudantes,610980.0
2015/01,Auxílio Financeiro a Pesquisadores,0.0
2015/01,Despesas de Exercícios Anteriores,1109463.07
2015/01,Diárias - Civil,12342.7
2015/01,Equipamentos e Material Permanente,0.0
2015/01,Indenizações e Restituições,1947364.58
2015/01,Locação de Mão-de-Obra,356743.43
2015/01,Material de Consumo,691918.15
2015/01,"Material, Bem ou Serviço para Distribuição",0.0
2015/01,Obras e Instalações,0.0
2015/01,Outros Auxílios Financeiros a Pessoas Físic,1976236.64
2015/01,Outros Serviços de Terceiros - Pessoa Físic,41594.0
2015/01,Outros Serviços de Terceiros - Pessoa Juríd,2026286.1700000002
2015/01,Passagens e Despesas com Locomoção,16210.0
2015/02,Auxílio Financeiro a Estudantes,1155840.0
2015/02,Auxílio Financeiro a Pesquisadores,17920.0
2015/02,Despesas de Exercícios Anteriores,73440.48
2015/02,Diárias - Civil,204192.45
2015/02,Equipamentos e Material Permanente,0.0
2015/02,Indenizações e Restituições,992346.45
2015/02,Locação de Mão-de-Obra,1156012.79
2015/02,Material de Consumo,1104383.55
2015/02,"Material, Bem ou Serviço para Distribuição",0.0
2015/02,Obras e Instalações,0.0
2015/02,Outros Auxílios Financeiros a Pessoas Físic,0.0
2015/02,Outros Serviços de Terceiros - Pessoa Físic,191213.41
2015/02,Outros Serviços de Terceiros - Pessoa Juríd,5571500.25
2015/02,Passagens e Despesas com Locomoção,103064.6
2015/03,Auxílio Financeiro a Estudantes,1775156.75
2015/03,Auxílio Financeiro a Pesquisadores,34240.0
2015/03,Contribuições,12400.67
2015/03,Despesas de Exercícios Anteriores,415100.7199999999
2015/03,Diárias - Civil,184707.2
2015/03,Equipamentos e Material Permanente,154000.0
2015/03,Indenizações e Restituições,989108.38
2015/03,Locação de Mão-de-Obra,756378.11
2015/03,Material de Consumo,1439295.97
2015/03,Obras e Instalações,0.0
2015/03,Outros Auxílios Financeiros a Pessoas Físic,390028.0
2015/03,Outros Serviços de Terceiros - Pessoa Físic,298833.21
2015/03,Outros Serviços de Terceiros - Pessoa Juríd,3471480.69
2015/03,Passagens e Despesas com Locomoção,294331.92
2015/04,Auxílio Financeiro a Estudantes,2124090.0
2015/04,Auxílio Financeiro a Pesquisadores,10240.0
2015/04,Contribuições,1000.0
2015/04,Despesas de Exercícios Anteriores,95409.9
2015/04,Diárias - Civil,194281.88
2015/04,Equipamentos e Material Permanente,0.0
2015/04,Indenizações e Restituições,988965.67
2015/04,Locação de Mão-de-Obra,756378.11
2015/04,Material de Consumo,2699994.49
2015/04,"Material, Bem ou Serviço para Distribuição",36007.59
2015/04,Obras e Instalações,10591912.99
2015/04,Outros Auxílios Financeiros a Pessoas Físic,134931.7
2015/04,Outros Serviços de Terceiros - Pessoa Físic,746755.9199999999
2015/04,Outros Serviços de Terceiros - Pessoa Juríd,5778416.38
2015/04,Passagens e Despesas com Locomoção,161395.16
2015/05,Auxílio Financeiro a Estudantes,3358070.25
2015/05,Auxílio Financeiro a Pesquisadores,33280.0
2015/05,Contribuições,1745.0
2015/05,Despesas de Exercícios Anteriores,89625.19
2015/05,Diárias - Civil,360611.4
2015/05,Equipamentos e Material Permanente,380940.81
2015/05,Indenizações e Restituições,988872.39
2015/05,Locação de Mão-de-Obra,701583.67
2015/05,Material de Consumo,1428940.9000000001
2015/05,"Material, Bem ou Serviço para Distribuição",0.0
2015/05,Obras e Instalações,19633.08
2015/05,Outros Auxílios Financeiros a Pessoas Físic,621343.88
2015/05,Outros Serviços de Terceiros - Pessoa Físic,455590.24999999994
2015/05,Outros Serviços de Terceiros - Pessoa Juríd,5942189.85
2015/05,Passagens e Despesas com Locomoção,249713.28999999998
2015/06,Auxílio Financeiro a Estudantes,2979773.0
2015/06,Auxílio Financeiro a Pesquisadores,0.0
2015/06,Despesas de Exercícios Anteriores,31233.5
2015/06,Diárias - Civil,58248.0
2015/06,Equipamentos e Material Permanente,37960.0
2015/06,Indenizações e Restituições,985296.17
2015/06,Locação de Mão-de-Obra,0.0
2015/06,Material de Consumo,1484071.3599999999
2015/06,"Material, Bem ou Serviço para Distribuição",31028.06
2015/06,Obras e Instalações,0.0
2015/06,Outros Auxílios Financeiros a Pessoas Físic,627104.92
2015/06,Outros Serviços de Terceiros - Pessoa Físic,462496.41000000003
2015/06,Outros Serviços de Terceiros - Pessoa Juríd,2294902.5
2015/06,Passagens e Despesas com Locomoção,104914.79000000001
2015/07,Auxílio Financeiro a Estudantes,5746586.37
2015/07,Auxílio Financeiro a Pesquisadores,272464.19
2015/07,Contribuições,0.0
2015/07,Despesas de Exercícios Anteriores,67065.68000000001
2015/07,Diárias - Civil,514610.8
2015/07,Equipamentos e Material Permanente,366634.19999999995
2015/07,Indenizações e Restituições,1228901.74
2015/07,Locação de Mão-de-Obra,3746056.82
2015/07,Material de Consumo,1546802.9000000001
2015/07,"Material, Bem ou Serviço para Distribuição",0.0
2015/07,Obras e Instalações,0.0
2015/07,Outros Auxílios Financeiros a Pessoas Físic,616085.82
2015/07,Outros Serviços de Terceiros - Pessoa Físic,458599.75
2015/07,Outros Serviços de Terceiros - Pessoa Juríd,13668649.39
2015/07,Passagens e Despesas com Locomoção,751229.49
2015/08,Auxílio Financeiro a Estudantes,362040.39999999997
2015/08,Auxílio Financeiro a Pesquisadores,10240.0
2015/08,Contribuições,0.0
2015/08,Despesas de Exercícios Anteriores,66011.17000000001
2015/08,Diárias - Civil,354533.7
2015/08,Equipamentos e Material Permanente,2786055.2
2015/08,Indenizações e Restituições,958762.64
2015/08,Locação de Mão-de-Obra,2538106.44
2015/08,Material de Consumo,2276698.0
2015/08,"Material, Bem ou Serviço para Distribuição",0.0
2015/08,Obras e Instalações,19475.78
2015/08,Outros Auxílios Financeiros a Pessoas Físic,616085.85
2015/08,Outros Serviços de Terceiros - Pessoa Físic,1215919.7000000002
2015/08,Outros Serviços de Terceiros - Pessoa Juríd,16869631.509999998
2015/08,Passagens e Despesas com Locomoção,242010.32
2015/09,Auxílio Financeiro a Estudantes,150925.25
2015/09,Auxílio Financeiro a Pesquisadores,10240.0
2015/09,Despesas de Exercícios Anteriores,340308.96
2015/09,Diárias - Civil,151040.37
2015/09,Equipamentos e Material Permanente,2438222.25
2015/09,Indenizações e Restituições,1089766.37
2015/09,Locação de Mão-de-Obra,-43678.46
2015/09,Material de Consumo,2769887.19
2015/09,"Material, Bem ou Serviço para Distribuição",0.0
2015/09,Obras e Instalações,4224.91
2015/09,Outros Auxílios Financeiros a Pessoas Físic,1576510.04
2015/09,Outros Serviços de Terceiros - Pessoa Físic,338534.62
2015/09,Outros Serviços de Terceiros - Pessoa Juríd,2643016.0300000003
2015/09,Passagens e Despesas com Locomoção,178294.64
2015/10,Auxílio Financeiro a Estudantes,267863.70999999996
2015/10,Auxílio Financeiro a Pesquisadores,254823.2
2015/10,Contribuições,82640.11
2015/10,Despesas de Exercícios Anteriores,48201.200000000004
2015/10,Diárias - Civil,16881.739999999998
2015/10,Equipamentos e Material Permanente,4722303.67
2015/10,Indenizações e Restituições,1415866.7600000002
2015/10,Locação de Mão-de-Obra,-13375.28
2015/10,Material de Consumo,3788382.18
2015/10,"Material, Bem ou Serviço para Distribuição",17013.92
2015/10,Obras e Instalações,1297352.36
2015/10,Outros Auxílios Financeiros a Pessoas Físic,155926.0
2015/10,Outros Serviços de Terceiros - Pessoa Físic,236142.87
2015/10,Outros Serviços de Terceiros - Pessoa Juríd,5235289.9
2015/10,Passagens e Despesas com Locomoção,132401.78
2015/11,Auxílio Financeiro a Estudantes,815740.0
2015/11,Auxílio Financeiro a Pesquisadores,268920.0
2015/11,Contribuições,0.0
2015/11,Despesas de Exercícios Anteriores,70713.01000000001
2015/11,Diárias - Civil,-15621.099999999999
